date,supply,demand,imports,exports,stocks,days_cover,price,gdp_index,weather_index,refinery_runs,is_forecast
2018-01-01,1832.2899662633463,1845.9843925460402,409.53410111558264,361.9441197374609,38200.0,641.5005483154242,6186.037745315423,100.65400746814103,60.931391835674965,91.37431678609082,False
2018-02-01,1782.1636893887778,1861.305497300276,411.31833811093236,459.76805969442074,38120.858192088504,573.4598812106134,7672.438792131214,99.91384935948304,61.409331096821504,92.97395833444871,False
2018-03-01,1942.8241550131024,1969.0831024562185,390.02204378137696,352.556114756572,38094.59924464539,599.7372965675858,6909.108429237261,99.76751652367504,59.48493998500842,93.55098273228089,False
2018-04-01,1938.2580771370388,2033.583473102798,408.8627498251424,350.9906903279046,37999.27384867963,560.5760621770959,8075.578588620195,100.10229135427639,54.48260697646606,92.94671248487533,False
2018-05-01,2020.0777758502122,2051.9657264478433,349.8096549491555,402.69109514169514,37967.385898082,573.5909463156711,8212.62984073282,100.99523836426565,49.25640590953952,95.57925778928775,False
2018-06-01,1955.3139558004857,2012.9755834500206,375.86815270853657,355.24340464349604,37909.72427043247,564.9803889641721,8304.683211970603,100.91880305142367,44.94181471121597,95.8581335413697,False
2018-07-01,1996.2138381188913,1937.6181506928197,321.8072803753759,353.9722815696082,37968.31995785854,607.4560760450955,6809.5618652647945,100.42296187721792,36.595076540473606,94.6162457237777,False
2018-08-01,2004.965106810568,1908.4590155469252,379.26195680370637,329.996591488194,38064.82604912218,618.3049245019396,6560.373286730937,100.40121852868533,42.225031120056855,91.8200804224833,False
2018-09-01,1903.29868917002,2003.5356424463946,369.458248968622,362.424507252858,37964.589095845804,568.4638939014268,8273.926753829472,100.58189784755038,41.73101936272845,92.43665366868835,False
2018-10-01,1961.110632370097,2025.4435286643284,383.3611367908935,278.58990674703944,37900.25619955157,580.0744012650343,7791.139069239101,101.11887789976532,46.164824928658604,91.360178862272,False
2018-11-01,1863.9304408309417,1981.655667634279,421.21130451038243,315.53848419109363,37782.53097274823,571.9842996415226,8011.622266123108,101.78578993439427,48.954762083516634,93.6467903113744,False
2018-12-01,1805.1326336610093,1753.2784199429168,383.7365926288856,301.9215292302228,37834.38518646632,668.9558985267395,5423.8557833647465,102.29073785299701,56.320366027852465,91.46363679555247,False
2019-01-01,1879.2582383623787,1852.2523796944747,270.21972765379024,259.06028303347,37861.39104513422,633.6626343504879,6031.087848573094,102.47220298652921,58.25913887638226,91.81426984420133,False
2019-02-01,1879.6240815253946,1915.1892206380198,433.75187918512023,386.1279030320799,37825.8259060216,553.0122632038269,8675.863890590677,103.5404807032692,63.39578269123926,91.78624260281615,False
